date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:52	46018/46018	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2011:36:14%20GMT	http://smartitsource.com/utrun/html/index.php	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/index.html	(from )
21:51:59	29437/29437	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202019%2020:51:53%20GMT	http://smartitsource.com/robots.txt		(from )
21:52:00	790/790	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202019%2020:51:59%20GMT	http://smartitsource.com/utrun/html/apple-touch-icon.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/apple-touch-icon.1.delayed	(from http://smartitsource.com/utrun/html/index.php)
21:52:01	1573/1573	---M--	200	added ('OK')	text/css	date:Sun,%2016%20Sep%202018%2002:21:36%20GMT	http://smartitsource.com/utrun/html/assets/icon-fonts/flaticon.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/icon-fonts/flaticon.css	(from http://smartitsource.com/utrun/html/index.html)
21:52:01	1072/1072	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Sep%202018%2011:27:56%20GMT	http://smartitsource.com/utrun/html/assets/web-fonts/fonts.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/web-fonts/fonts.css	(from http://smartitsource.com/utrun/html/index.html)
21:52:04	144877/144877	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jan%202018%2016:29:48%20GMT	http://smartitsource.com/utrun/html/assets/css/bootstrap.min.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/bootstrap.min.css	(from http://smartitsource.com/utrun/html/index.html)
21:52:05	23732/23732	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Sep%202018%2011:46:54%20GMT	http://smartitsource.com/utrun/html/assets/css/tab.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/tab.css	(from http://smartitsource.com/utrun/html/index.php)
21:52:06	26053/26053	---M--	200	added ('OK')	text/css	date:Sun,%2008%20Jul%202018%2006:40:38%20GMT	http://smartitsource.com/utrun/html/assets/css/animate.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/animate.css	(from http://smartitsource.com/utrun/html/index.php)
21:52:09	48649/48649	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:26:38%20GMT	http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/css/all.min.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/css/all.min.css	(from http://smartitsource.com/utrun/html/index.php)
21:52:10	3351/3351	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Apr%202018%2010:49:48%20GMT	http://smartitsource.com/utrun/html/assets/css/owl.carousel.min.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/owl.carousel.min.css	(from http://smartitsource.com/utrun/html/index.php)
21:52:10	1013/1013	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Apr%202018%2010:49:48%20GMT	http://smartitsource.com/utrun/html/assets/css/owl.theme.default.min.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/owl.theme.default.min.css	(from http://smartitsource.com/utrun/html/index.php)
21:52:12	37879/37879	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Oct%202018%2013:44:56%20GMT	http://smartitsource.com/utrun/html/assets/css/style.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/style.css	(from http://smartitsource.com/utrun/html/index.html)
21:52:12	26831/26831	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Oct%202018%2013:49:36%20GMT	http://smartitsource.com/utrun/html/assets/css/responsive.css	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/responsive.css	(from http://smartitsource.com/utrun/html/index.html)
21:52:13	8636/8636	---M--	200	added ('OK')	application/javascript	date:Wed,%2004%20Jul%202018%2016:58:20%20GMT	http://smartitsource.com/utrun/html/assets/js/vendor/modernizr-3.6.0.min.js	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/js/vendor/modernizr-3.6.0.min.js	(from http://smartitsource.com/utrun/html/index.php)
21:52:14	2648/2648	---M--	200	added ('OK')	image/png	etag:%222301205-a58-575b5daaf3880%22	http://smartitsource.com/utrun/html/assets/images/normal/logo.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/logo.png	(from http://smartitsource.com/utrun/html/index.html)
21:52:15	23016/23016	---M--	200	added ('OK')	image/png	etag:%22230120e-59e8-575f6a1c4ff00%22	http://smartitsource.com/utrun/html/assets/images/normal/logo-light.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/logo-light.png	(from http://smartitsource.com/utrun/html/index.html)
21:52:16	20989/20989	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Sep%202018%2015:46:16%20GMT	http://smartitsource.com/utrun/html/blog-grid.html	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/blog-grid.html	(from http://smartitsource.com/utrun/html/index.html)
21:52:19	6978/6978	---M--	200	added ('OK')	image/png	etag:%22230121a-1b42-5758bf52fae80%22	http://smartitsource.com/utrun/html/assets/images/client-logo/1.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/client-logo/1.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:19	78277/78277	---M--	200	added ('OK')	image/png	etag:%222301209-131c5-575b5b3b3f900%22	http://smartitsource.com/utrun/html/assets/images/normal/person.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/person.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:20	4362/4362	---M--	200	added ('OK')	image/png	etag:%22230121b-110a-5758bf8e1ba00%22	http://smartitsource.com/utrun/html/assets/images/client-logo/2.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/client-logo/2.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:20	4828/4828	---M--	200	added ('OK')	image/png	etag:%222301224-12dc-5758bf998d500%22	http://smartitsource.com/utrun/html/assets/images/client-logo/3.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/client-logo/3.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:21	4338/4338	---M--	200	added ('OK')	image/png	etag:%222301223-10f2-5758bfa8cf900%22	http://smartitsource.com/utrun/html/assets/images/client-logo/4.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/client-logo/4.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:22	5678/5678	---M--	200	added ('OK')	image/png	etag:%222301219-162e-5758bfb9fa180%22	http://smartitsource.com/utrun/html/assets/images/client-logo/5.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/client-logo/5.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:23	6978/6978	---M--	200	added ('OK')	image/png	etag:%22230121c-1b42-5758bf5112a00%22	http://smartitsource.com/utrun/html/assets/images/client-logo/6.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/client-logo/6.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:27	53564/53564	---M--	200	added ('OK')	image/png	etag:%2223011d8-d13c-576185c934000%22	http://smartitsource.com/utrun/html/assets/images/image-icon/b-1.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/image-icon/b-1.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:29	6480/6480	---M--	200	added ('OK')	image/png	etag:%222301212-1950-575b5cf991600%22	http://smartitsource.com/utrun/html/assets/images/normal/tab-thumb.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/tab-thumb.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:32	53321/53321	---M--	200	added ('OK')	image/png	etag:%2223011d3-d049-5761862c62a00%22	http://smartitsource.com/utrun/html/assets/images/image-icon/b-2.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/image-icon/b-2.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:33	53327/53327	---M--	200	added ('OK')	image/png	etag:%2223011d9-d04f-576186991aa80%22	http://smartitsource.com/utrun/html/assets/images/image-icon/b-3.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/image-icon/b-3.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:34	54236/54236	---M--	200	added ('OK')	image/jpeg	etag:%222301206-d3dc-575b5c62e3280%22	http://smartitsource.com/utrun/html/assets/images/normal/f.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/f.jpg	(from http://smartitsource.com/utrun/html/index.php)
21:52:36	45583/45583	---M--	200	added ('OK')	image/png	etag:%222301215-b20f-575b5d43f4580%22	http://smartitsource.com/utrun/html/assets/images/normal/wide-img.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/wide-img.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:37	26114/26114	---M--	200	added ('OK')	image/png	etag:%2223011f7-6602-575f396240900%22	http://smartitsource.com/utrun/html/assets/images/testimonial/1.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/testimonial/1.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:37	22720/22720	---M--	200	added ('OK')	image/png	etag:%2223011fe-58c0-575f39736b180%22	http://smartitsource.com/utrun/html/assets/images/testimonial/2.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/testimonial/2.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:37	22346/22346	---M--	200	added ('OK')	image/png	etag:%2223011ff-574a-575f32dd52780%22	http://smartitsource.com/utrun/html/assets/images/testimonial/3.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/testimonial/3.png	(from http://smartitsource.com/utrun/html/index.php)
21:52:44	61571/61571	---M--	200	added ('OK')	image/jpeg	etag:%222301201-f083-575f4e68ca400%22	http://smartitsource.com/utrun/html/assets/images/latest-blog/1.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/latest-blog/1.jpg	(from http://smartitsource.com/utrun/html/index.php)
21:52:45	2532/2532	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Aug%202017%2000:58:22%20GMT	http://smartitsource.com/utrun/html/assets/js/jquery.easing.min.js	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/js/jquery.easing.min.js	(from http://smartitsource.com/utrun/html/index.php)
